rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city
192,https://www.inc.com/profile/dynamic-systems-technology,Dynamic Systems Technology,http://dystech.com,VA,247,2077.0156,Government Services,350,35,1995,4,"Washington, DC",Fairfax
193,https://www.inc.com/profile/supinf-technologies,Supinf Technologies,supinf-tech.com,MD,45,2076.8839,Government Services,10,2,2009,1,"Washington, DC",Rockville
194,https://www.inc.com/profile/davis-cargo,Davis Cargo,daviscargo.com,FL,329,2068.4929,Logistics & Transportation,45,4,2014,1,"Orlando, FL",orlando
196,https://www.inc.com/profile/setschedule,SetSchedule,setschedule.com,CA,36,2037.4483,Real Estate,62,5,2014,1,Los Angeles,Irvine
197,https://www.inc.com/profile/l2-defense,L2 Defense,l2defense.com,MD,208,2037.0893,Government Services,60,10,2012,3,Baltimore,Middle River
198,https://www.inc.com/profile/motivosity,Motivosity,http://motivosity.com/index.html,UT,36,2029.6606,Software,18,4,2013,1,"Provo-Orem, UT",Orem
199,https://www.inc.com/profile/advoc8,Advoc8,http://advoc8.com,DC,143,2026.9981,Advertising & Marketing,30,1,2015,1,"Washington, DC",Washington
200,https://www.inc.com/profile/real-plans,Real Plans,http://realplans.com,CA,4,2018.2299,Software,23,8,2014,2,Los Angeles,Walnut
201,https://www.inc.com/profile/axiom-strategies,Axiom Strategies,axiomstrategies.com,MO,1384,2013.474,Advertising & Marketing,102,27,2005,1,"Kansas City, MO-KS",Kansas City
202,https://www.inc.com/profile/midway-staffing,Midway Staffing,midwaystaffing.com,IL,405,2007.0456,Business Products & Services,2330,220,2015,1,Chicago,Berwyn
203,https://www.inc.com/profile/perfect-part,Perfect Part,theperfectpart.net,CA,23,2004.3858,Telecommunications,5,2,2013,1,Los Angeles,North Hollywood
